chinese	english
建築與都市計畫系(第二類組)	Department of Architecture and Urban Planning (Group II)
建築與都計學系	Department of Architecture and Urban Planning
建築與都計學系(建築科技組)	Department of Architecture and Urban Planning (Building Technology Group)
建築與都計學系(建築設計組)	Department of Architecture and Urban Planning (Architectural Design Group)
建築與都計學系(都市計畫組)	Department of Architecture and Urban Planning (Urban Planning Section)
建築設計學系	Department of Architectural Design
建築設計學系(臺北校區)	Department of Architectural Design (Taipei Campus)
弘光科技大學	Hongguang University of Science and Technology
影像傳播學系	Department of Imaging and Communication
影視傳播系	Department of Film and Television Communication
影視藝術系	Department of Film and Television Arts
影視藝術系影視表演組	Film and Television Performance Group, Department of Film and Television Arts
影視設計系	Department of Film and Television Design
影視設計系（台北校區）	Department of Film and Television Design (Taipei Campus)
影視設計系（新竹校區）	Department of Film and Television Design (Hsinchu Campus)
影視設計系（臺北校區）	Department of Film and Television Design (Taipei Campus)
影音新聞暨社群傳播學系	Department of Audiovisual Journalism and Social Communication
影音新聞暨社群傳播學系(台北校區)	Department of Audiovisual Journalism and Social Communication (Taipei Campus)
微商營運學士學位學程	Bachelor's Degree in Micro Business Operations
微生物免疫與生物藥學系	Department of Microbiology, Immunology and Biopharmaceuticals
微生物學系	Department of Microbiology
微生物學系應用微生物組	Department of Microbiology Applied Microbiome
微生物學系生物科	Department of Microbiology, Division of Biology
微生物學系生物科技組	Biotechnology Group, Department of Microbiology
微電子工程系	Department of Microelectronics Engineering
微電子工程系（楠梓校區）	Department of Microelectronics Engineering (Nanzi Campus)
德國文化學系	Department of German Culture
德國文化學系A組	German Culture Department Group A
德國文化學系B組	German Culture Department Group B
德國語文學系	Department of German Philology
德國語文系	Department of German Language and Literature
德明財經科技大學	Deming University of Finance and Economics
德育護理健康學院	Moral Education Nursing and Health College
德語語文學系	Department of German Philology
心理學系	Department of Psychology
心理學系(工商與社會心理組)	Department of Psychology (Business and Social Psychology Section)
心理學系(心理師研修組)	Department of Psychology (Psychologist Training Group)
心理學系(自然組)	Department of Psychology (Natural Group)
心理學系(諮商與臨床心理組)	Department of Psychology (Counseling and Clinical Psychology Section)
心理學系【外加】	Department of Psychology【Additional】
心理學系工商與社會心理組	Department of Psychology, Business and Social Psychology Section
心理學系心理師研修組	Psychologist training group of the Department of Psychology
心理學系諮商與臨床心理組	Department of Psychology Counseling and Clinical Psychology Section
心理與諮商學系	Department of Psychology and Counseling
心理與諮商學系【外加】	Department of Psychology and Counseling【Additional】
心理輔導學系	Department of Counseling Psychology
慈濟大學	Tzu Chi University
慈濟學校財團法人慈濟科技大學	Tzu Chi University of Science and Technology
慈濟科技大學	Tzu Chi University of Science and Technology
應用中國文學系	Department of Applied Chinese Literature
應用中國文學系(桃園校區)	Department of Applied Chinese Literature (Taoyuan Campus)
應用中國文學系文創組(桃園)	Cultural and Creative Group, Department of Applied Chinese Literature (Taoyuan)
應用中國文學系文創組(桃園校區)	Cultural and Creative Group, Department of Applied Chinese Literature (Taoyuan Campus)
應用中國文學系文創組（桃園）	Cultural and Creative Group, Department of Applied Chinese Literature (Taoyuan)
應用中國文學系文教組(桃園)	Department of Applied Chinese Literature (Taoyuan)
應用中國文學系文教組(桃園校區)	Department of Applied Chinese Literature (Taoyuan Campus)
應用中國文學系文教組（桃園）	Department of Applied Chinese Literature (Taoyuan)
應用中國文學系文教組（桃園）【外加】	Department of Applied Chinese Literature, Department of Culture and Education (Taoyuan) [Additional]
應用中國文學系語文傳播組(桃園校區)	Language Communication Group, Department of Applied Chinese Literature (Taoyuan Campus)
應用中國文學系語文創作組(桃園校區)	Chinese Writing Group, Department of Applied Chinese Literature (Taoyuan Campus)
應用中文學系	Department of Applied Chinese Literature
應用中文學系劇本創作組(高雄校區)	Script Writing Group, Department of Applied Chinese Literature (Kaohsiung Campus)
應用中文學系文創設計組(高雄校區)	Cultural and Creative Design Group, Department of Applied Chinese Literature (Kaohsiung Campus)
應用中文學系文化傳播組(高雄校區)	Cultural Communication Group, Department of Applied Chinese Studies (Kaohsiung Campus)
應用中文系	Department of Applied Chinese
應用中文系劇本創作組(高雄)	Department of Applied Chinese Script Writing Group (Kaohsiung)
應用中文系文創設計組(高雄)	Cultural and Creative Design Group, Department of Applied Chinese (Kaohsiung)
應用中文系文化傳播組(高雄)	Cultural Communication Group, Department of Applied Chinese (Kaohsiung)
應用中文與華語文教學系	Department of Applied Chinese and Chinese Language Teaching
應用中文與華語文教學系文教傳播組(桃	Cultural and Educational Communication Group, Department of Applied Chinese and Chinese Language Teaching (Tao
應用中文與華語文教學系語文創作組(桃	Chinese Writing Group, Department of Applied Chinese and Chinese Language Teaching (Tao
應用化學及材料科學系	Department of Applied Chemistry and Materials Science
應用化學系	Department of Applied Chemistry
應用哲學系	Department of Applied Philosophy
應用哲學系(公共參與組)	Department of Applied Philosophy (Public Engagement Group)
應用哲學系(社會關懷組)	Department of Applied Philosophy (Social Care Section)
應用哲學系社會關懷組	Social Care Section, Department of Applied Philosophy
應用外國語文學系	Department of Applied Foreign Languages and Literatures
應用外國語言學系	Department of Applied Foreign Linguistics
應用外語學系	Department of Applied Foreign Languages
應用外語學系(社會組一)	Department of Applied Foreign Languages (Social Group 1)
應用外語學系(臺北校區)	Department of Applied Foreign Languages (Taipei Campus)
應用外語學系數位應用組(臺北校區)	Department of Applied Foreign Languages Graduate Application Group (Taipei Campus)
應用外語暨智慧商務學士學位學程	Bachelor's Degree in Applied Foreign Languages and Smart Business
應用外語系	Department of Applied Foreign Languages
應用外語系應用日文組	Department of Applied Foreign Languages Applied Japanese Group
應用外語系應用日語組	Department of Applied Foreign Languages Applied Japanese Group
應用外語系應用英文組	Applied English Group, Department of Applied Foreign Languages
應用外語系應用英語組	Applied English Group, Department of Applied Foreign Languages
應用外語系日文組	Department of Applied Foreign Languages Japanese Section
應用外語系日韓語組	Department of Applied Foreign Languages Japanese and Korean Group
應用外語系英文組	English Section, Department of Applied Foreign Languages
應用外語系英語組	Department of Applied Foreign Languages English Group
應用外語系（燕巢校區）	Department of Applied Foreign Languages (Yanchao Campus)
應用外語系（臺北校區）	Department of Applied Foreign Languages (Taipei Campus)
應用德語系	Department of Applied German
應用德語系（第一校區）	Department of Applied German (First Campus)
應用心理學系	Department of Applied Psychology
應用數位媒體系	Department of Applied Digital Media
應用數位媒體系視覺傳達設計組	Visual Communication Design Group, Department of Applied Digital Media
應用數學系	Department of Applied Mathematics
應用數學系(A組)	Department of Applied Mathematics (Group A)
應用數學系(B組)	Department of Applied Mathematics (Group B)
應用數學系A組	Department of Applied Mathematics Group A
應用數學系B組	Department of Applied Mathematics Group B
應用數學系應用數學組	Department of Applied Mathematics Applied Mathematics Group
應用數學系數學科	Applied Mathematics Coefficients Subject
應用數學系數學科學組	Department of Applied Mathematics Mathematical Sciences Group
應用數學系數據科	Data Section, Department of Applied Mathematics
應用數學系數據科學與計算組	Data Science and Computing Group, Department of Applied Mathematics
應用數學系統計科	Applied Mathematics and Systems Accounting
應用數學系統計科學組	Applied Mathematics System Accounting Group
應用數學系統計科學組(社會組)	Applied Mathematics and Systems Engineering Group (Social Group)
應用數學系統計科學組(自然組)	Applied Mathematics System Accounting Group (Natural Group)
應用數學系統計組(社會組)	Applied Mathematics Systems Engineering Group (Social Group)
應用數學系統計組(自然組)	Applied Mathematics System Planning Group (Natural Group)
應用數學系英語組	English Section, Department of Applied Mathematics
應用數學與數據科學學系	Department of Applied Mathematics and Data Science
應用日文學系	Department of Applied Japanese Literature
應用日文學系(高雄校區)	Department of Applied Japanese Literature (Kaohsiung Campus)
應用日語學系	Department of Applied Japanese Studies
應用日語學系(AI商務應用組)	Department of Applied Japanese Studies (AI Business Application Group)
應用日語學系(商務組)	Department of Applied Japanese Studies (Business Section)
應用日語學系(商務觀光組)	Department of Applied Japanese Studies (Business Tourism Section)
應用日語學系(桃園校區)	Department of Applied Japanese Studies (Taoyuan Campus)
應用日語學系(觀光旅遊組)	Department of Applied Japanese Studies (Tourism and Tourism Section)
應用日語學系(觀光組)	Department of Applied Japanese Studies (Tourism Section)
應用日語學系(語文組)	Department of Applied Japanese Studies (Language Section)
應用日語學系(語文翻譯組)	Department of Applied Japanese Studies (Language Translation Group)
應用日語學系觀光經貿組	Department of Applied Japanese Studies, Tourism Economics and Trade Section
應用日語學系語文翻譯組	Language Translation Group, Department of Applied Japanese Studies
應用日語學系（桃園）	Department of Applied Japanese Studies (Taoyuan)
應用日語系	Department of Applied Japanese
應用日語系（第一校區）	Department of Applied Japanese (First Campus)
應用材料及光電工程學系	Department of Applied Materials and Optoelectronic Engineering
應用材料科技系	Department of Applied Materials Technology
應用歷史學系	Department of Applied History
應用物理學系	Department of Applied Physics
應用物理學系(A組)	Department of Applied Physics (Group A)
應用物理學系(B組)	Department of Applied Physics (Group B)
應用物理暨化學系	Department of Applied Physics and Chemistry
應用物理暨化學系應用化學組	Applied Chemistry Section, Department of Applied Physics and Chemistry
應用物理暨化學系電子物理組	Electronic Physics Group, Department of Applied Physics and Chemistry
應用物理系	Department of Applied Physics
應用物理系光電暨材料組	Department of Applied Physics Optoelectronics and Materials Group
應用物理系半導體組	Department of Applied Physics Semiconductor Group
應用物理系物理組	Department of Applied Physics Physics Group
應用社會學系	Department of Applied Sociology
應用社會學系社會學組	Sociology Section, Department of Applied Sociology
應用社會學系社會工作組	Social Working Group, Department of Applied Sociology
應用科學系	Department of Applied Sciences
應用科學系化學及奈米科	Department of Applied Science Chemistry and Nanotechnology
應用科學系化學及奈米科學組	Chemistry and Nanoscience Group, Department of Applied Science
應用科學系應用物理組	Applied Physics Group, Department of Applied Science
應用空間資訊系	Department of Applied Space Information
應用空間資訊系空間測繪應用組	Department of Applied Spatial Information Spatial Surveying and Mapping Application Group
應用空間資訊系空間視傳應用組	Department of Applied Space Information Space Video Transmission Application Group
應用統計系	Department of Applied Statistics
應用統計與資料科學學系	Department of Applied Statistics and Data Science
應用統計與資料科學學系大數據管理組	Big Data Management Group, Department of Applied Statistics and Data Science
應用統計與資料科學學系大數據管理組（桃園）	Big Data Management Group, Department of Applied Statistics and Data Science (Taoyuan)
應用統計與資料科學學系應用統計組(桃	Applied Statistics Group, Department of Applied Statistics and Data Science (Tao
應用統計與資料科學學系應用統計組（桃園）	Applied Statistics Group, Department of Applied Statistics and Data Science (Taoyuan)
應用經濟學系	Department of Applied Economics
應用經濟學系(國際商務組)	Department of Applied Economics (International Business Group)
應用經濟學系(財務金融組)	Department of Applied Economics (Finance Group)
應用經濟與管理學系	Department of Applied Economics and Management
應用經濟與管理學系【外加】	Department of Applied Economics and Management【Additional】
應用美術學系	Department of Applied Arts
應用英文系	Department of Applied English
應用英語學系	Department of Applied English
應用英語學系(桃園校區)	Department of Applied English (Taoyuan Campus)
應用英語學系(高雄校區)	Department of Applied English (Kaohsiung Campus)
應用英語學系國際商務組(高雄校區)	International Business Section, Department of Applied English (Kaohsiung Campus)
應用英語學系英日雙語組(高雄校區)	English-Japanese Bilingual Group, Department of Applied English (Kaohsiung Campus)
應用英語學系英語商務組(桃園校區)	English Business Section, Department of Applied English (Taoyuan Campus)
應用英語學系英語商務與口筆譯組(桃園	English Business and Interpretation and Translation Group, Department of Applied English (Taoyuan
應用英語學系英語商務與觀光組(桃園校	English Business and Tourism Section, Department of Applied English (Taoyuan Campus
應用英語學系英語商務與觀光組（桃園）	English Business and Tourism Section, Department of Applied English (Taoyuan)
應用英語學系英語教學與文化溝通組(桃	English Teaching and Cultural Communication Group, Department of Applied English (Tao
應用英語學系英語教學與文化溝通組（桃園）	English Teaching and Cultural Communication Group, Department of Applied English (Taoyuan)
應用英語學系英語教學與雙語教育組(桃	English Teaching and Bilingual Education Group, Department of Applied English (Tao
應用英語系	Department of Applied English
應用英語系國際旅遊組	Department of Applied English International Tourism Group
應用英語系教學與文化溝通組	Teaching and Cultural Communication Group, Department of Applied English
應用英語系英語商務與觀光組	Department of Applied English English Business and Tourism Section
應用英語系（台北校區）	Department of Applied English (Taipei Campus)
應用英語系（第一校區）	Department of Applied English (First Campus)
應用英語系（臺北校區）	Department of Applied English (Taipei Campus)
應用華語文學系	Department of Applied Chinese Literature
應用華語文學系【外加】	Department of Applied Chinese Literature【Additional】
應用華語文系	Department of Applied Chinese Language and Literature
應用音樂學系	Department of Applied Music
應統與資料科學系	Department of Systems and Data Science
應統與資料科學系大數據組	Big Data Group, Department of Systems and Data Science
應統與資料科學系應用統計組	Applied Statistics Group, Department of Systems and Data Science
成人及繼續教育學系	Department of Adult and Continuing Education
戲劇創作與應用學系	Department of Drama Creation and Applied Studies
戲劇創作與應用學系(女)	Department of Drama Creation and Applied Studies (Female)
戲劇創作與應用學系(男)	Department of Drama Creation and Applied Studies (Male)
戲劇創作與應用學系【外加】	Department of Drama Creation and Applied Studies [Additional]
戲劇學系	Department of Drama
戲劇學系(女)	Department of Drama (Female)
戲劇學系(男)	Department of Drama (Male)
戲劇系	Department of Drama
房地產開發與管理系	Department of Real Estate Development and Management
攝影學士學位學程	Bachelor's Degree in Photography
政治學系	Department of Political Science
政治學系【外加】	Department of Political Science【Additional】
政治學系公共行政組	Public Administration Section, Department of Political Science
政治學系國際關係組	International Relations Section, Department of Political Science
政治學系政治理論組	Political Theory Group, Department of Political Science
政治法律學系	Department of Political Science and Law
政治經濟學系	Department of Political Economics
敏實科技大學	Minshi University of Technology
教育學系	Department of Education
教育學系(公費)-臺東縣	Department of Education (Publicly Funded)-Taitung County
教育學系(公費)-高雄市	Department of Education (publicly funded)-Kaohsiung City
教育學系(自費)	Department of Education (self-funded)
教育學系【外加】	Department of Education【Additional】
教育學習科技系	Department of Educational Learning Technology
教育學習科技系(公費)-臺中	Department of Educational Learning Technology (Publicly Funded)-Taichung
教育學院學士班	Bachelor's Degree, Faculty of Education
教育學院學士班【外加】	Bachelor's Degree, School of Education [Additional]
教育學院學士班教育心理與輔導組	Educational Psychology and Counseling Group, Bachelor's Degree, School of Education
教育學院學士班教育科	Department of Education, Bachelor's Degree, Faculty of Education
教育學院學士班教育科技與數位學習組	Educational Technology and Digital Learning Group, Bachelor’s Program, Faculty of Education
教育心理與諮商學系	Department of Educational Psychology and Counseling
教育心理與諮商學系乙組	Group B, Department of Educational Psychology and Counseling
教育心理與諮商學系甲組	Group A, Department of Educational Psychology and Counseling
教育心理與輔導學系	Department of Educational Psychology and Counseling
教育心理與輔導學系【外加】	Department of Educational Psychology and Counseling [Additional]
教育政策與行政學系	Department of Educational Policy and Administration
教育科技學系	Department of Educational Science and Technology
教育科技學系【外加】	Department of Educational Science and Technology【Additional】
教育經營與管理學系	Department of Educational Business and Management
教育與學習科技學系	Department of Education and Learning Technology
教育與學習科技學系(自費)	Department of Education and Learning Technology (self-funded)
教育與未來設計學系	Department of Education and Future Design
教育與潛能開發學系	Department of Education and Potential Development
教育與潛能開發學系(自費)	Department of Education and Potential Development (self-funded)
教育行政與管理學系	Department of Educational Administration and Management
教育領導與科技發展學位學程	Educational Leadership and Technology Development Degree Program
教育領導與科技發展學士學位學程	Bachelor's Degree in Educational Leadership and Technology Development
數位內容應用與管理系	Department of Digital Content Application and Management
數位內容科技學系	Department of Digital Content Technology
數位多媒體系	Department of Digital Multimedia
數位多媒體設計學系	Department of Digital Multimedia Design
數位多媒體設計學系動畫設計組	Animation Design Group, Department of Digital Multimedia Design
數位多媒體設計學系遊戲設計組	Game Design Group, Department of Digital Multimedia Design
數位多媒體設計系	Department of Digital Multimedia Design
數位多媒體設計系互動媒體組	Interactive Media Group, Department of Digital Multimedia Design
數位多媒體設計系動畫設計組	Animation Design Group, Department of Digital Multimedia Design
數位多媒體設計系數位動畫組	Digital Multimedia Design Coefficients Animation Group
數位多媒體設計系遊戲設計組	Game Design Group, Department of Digital Multimedia Design
數位多媒體設計系（台北校區）	Department of Digital Multimedia Design (Taipei Campus)
數位多媒體設計系（新竹校區）	Department of Digital Multimedia Design (Hsinchu Campus)
數位多媒體設計系（桃園校區）	Department of Digital Multimedia Design (Taoyuan Campus)
數位多媒體設計系（臺北校區）	Department of Digital Multimedia Design (Taipei Campus)
數位媒體與文教產業學系	Department of Digital Media and Cultural and Educational Industries
數位媒體與產品設計系	Department of Digital Media and Product Design
數位媒體設計學系	Department of Digital Media Design
數位媒體設計學系(動漫遊戲組)	Department of Digital Media Design (Animation and Game Group)
數位媒體設計學系(數位動畫設計組)	Department of Digital Media Design (Digital Animation Design Group)
數位媒體設計學系(數位遊戲設計組)	Department of Digital Media Design (Digital Game Design Group)
數位媒體設計學系(視覺傳達組)	Department of Digital Media Design (Visual Communication Group)
數位媒體設計學系互動媒體組(桃園校	Interactive Media Group, Department of Digital Media Design (Taoyuan Campus
數位媒體設計學系互動媒體設計組(社會	Department of Digital Media Design, Interactive Media Design Group (Social
數位媒體設計學系互動媒體設計組(自然	Interactive Media Design Group, Department of Digital Media Design (Natural
數位媒體設計學系互動設計組	Interaction Design Group, Department of Digital Media Design
數位媒體設計學系動畫影視組	Animation Film and Television Group, Department of Digital Media Design
數位媒體設計學系動畫影視組(桃園校	Animation Film and Television Group, Department of Digital Media Design (Taoyuan Campus
數位媒體設計學系動畫文創組(桃園校	Animation and Creative Group, Department of Digital Media Design (Taoyuan Campus
數位媒體設計學系多媒體遊戲組(桃園校	Multimedia Game Group, Department of Digital Media Design (Taoyuan Campus
數位媒體設計學系影視創意組(桃園校	Film and Television Creative Group, Department of Digital Media Design (Taoyuan Campus
數位媒體設計學系數位動畫設計組	Department of Digital Media Design Digital Animation Design Group
數位媒體設計學系數位媒體設計組	Department of Digital Media Design Digital Media Design Group
數位媒體設計學系數位遊戲設計組	Department of Digital Media Design Digital Game Design Group
數位媒體設計學系數位遊戲設計組(社會	Department of Digital Media Design Digital Game Design Group (Social
數位媒體設計學系數位遊戲設計組(自然	Department of Digital Media Design Digital Game Design Group (Natural
數位媒體設計學系遊戲互動與AI應用組	Game Interaction and AI Application Group, Department of Digital Media Design
數位媒體設計學系（桃園）	Department of Digital Media Design (Taoyuan)
數位媒體設計學系（桃園）【外加】	Department of Digital Media Design (Taoyuan) [Additional]
數位媒體設計系	Department of Digital Media Design
數位媒體設計系(數位動畫組)	Department of Digital Media Design (Digital Animation Group)
數位媒體設計系(數位遊戲組)	Department of Digital Media Design (Digital Games Group)
數位媒體設計系多媒體遊戲組	Multimedia Game Group, Department of Digital Media Design
數位學習科技學系	Department of Digital Learning Technology
數位學習科技學系(數位學習內容組)	Department of Digital Learning Technology (Digital Learning Content Group)
數位學習科技學系(數位學習系統組)	Department of Digital Learning Technology (Digital Learning Systems Group)
數位學習科技學系(社會組)	Department of Digital Learning Technology (Society Section)
數位學習科技學系(自然組)	Department of Digital Learning Technology (Natural Group)
數位學習科技學系【外加】	Department of Digital Learning Technology【Additional】
數位學習設計管理系	Department of Digital Learning Design Management
數位學習設計管理系(社會組)	Department of Digital Learning Design Management (Social Group)
數位學習設計管理系(自然組)	Department of Digital Learning Design Management (Natural Group)
數位學習設計與管理學系	Department of Digital Learning Design and Management
數位學習設計與管理學系(媒體互動設計	Department of Digital Learning Design and Management (Media Interaction Design
數位學習設計與管理學系(社會組)	Department of Digital Learning Design and Management (Social Group)
數位學習設計與管理學系(自然組)	Department of Digital Learning Design and Management (Natural Group)
數位學習設計與管理學系(資訊科技與管	Department of Digital Learning Design and Management (Information Technology and Management
數位學習設計與管理學系【外加】	Department of Digital Learning Design and Management [Additional]
數位旅遊管理系	Department of Digital Tourism Management
數位科技與媒體設計系	Department of Digital Technology and Media Design
數位科技設計學系	Department of Digital Technology Design
數位科技設計學系(創意設計組)	Department of Digital Technology Design (Creative Design Group)
數位科技設計學系(資訊應用組)	Department of Digital Technology Design (Information Application Group)
數位科技設計學系創意設計組	Creative Design Group, Department of Digital Technology Design
數位科技設計學系資訊應用組	Information Application Group, Department of Digital Technology and Design
數位經營管理系	Department of Digital Business Management
數位行銷暨跨境商務系	Department of Digital Marketing and Cross-Border Business
數位行銷管理系	Department of Digital Marketing Management
數位行銷設計學士學位學程	Bachelor's Degree in Digital Marketing Design
數位設計學系	Department of Digital Design
數位設計系	Department of Digital Design
數位設計與資訊管理系	Department of Digital Design and Information Management
數位遊戲設計系	Department of Digital Game Design
數位金融科技學系	Department of Digital Financial Technology
數位金融科技學系(乙組)	Department of Digital Financial Technology (Group B)
數位金融科技學系(甲組)	Department of Digital Financial Technology (Group A)
數學學系	Department of Mathematics
數學學系數學組	Department of Mathematics Mathematics Group
數學學系資料科	Information Section, Department of Mathematics
數學學系資料科學與數理統計組	Data Science and Mathematical Statistics Group, Department of Mathematics
數學教育學系	Department of Mathematics Education
數學教育學系(公費)-臺南市	Department of Mathematics Education (Publicly Funded)-Tainan City
數學教育學系(自費)	Department of Mathematics Education (self-funded)
數學暨資訊教育學系	Department of Mathematics and Information Education
數學暨資訊教育學系人工智慧與資訊教	Artificial Intelligence and Information Education, Department of Mathematics and Information Education
數學暨資訊教育學系人工智慧與資訊教育組	Artificial Intelligence and Information Education Section, Department of Mathematics and Information Education
數學暨資訊教育學系數學組	Mathematics Section, Department of Mathematics and Information Education
數學暨資訊教育學系數學組【外加】	Department of Mathematics and Information Education Mathematics Section [Additional]
數學暨資訊教育系	Department of Mathematics and Information Education
數學暨資訊教育系數學組(女)	Department of Mathematics and Information Education Mathematics Section (Female)
數學暨資訊教育系數學組(男)	Department of Mathematics and Information Education Mathematics Section (Male)
數學暨資訊教育系資訊組(女)	Information Section, Department of Mathematics and Information Education (Female)
數學暨資訊教育系資訊組(男)	Information Section, Department of Mathematics and Information Education (Male)
數學系	Department of Mathematics
數學系乙組(應用數學組)	Department of Mathematics Group B (Applied Mathematics Group)
數學系應用數學組	Department of Mathematics Applied Mathematics Group
數學系數學科	Mathematics coefficient subject
數學系數學科學組	Department of Mathematics Mathematical Sciences Group
數學系數學組	Mathematics Department Mathematics Group
數學系甲組(數學組)	Mathematics Department Group A (Mathematics Group)
數學系計算與資料科	Department of Mathematics, Computing and Data Science
數學系計算與資料科學組	Computing and Data Science Group, Department of Mathematics
數學系資料科	Department of Mathematics Information Section
數學系資料科學與數理統計組	Department of Mathematics, Data Science and Mathematical Statistics Group
數學系資訊數學組	Information Mathematics Group, Department of Mathematics
文創與數位多媒體系	Department of Cultural Creativity and Digital Multimedia
文創與數位多媒體系（台北校區）	Department of Cultural, Creative and Digital Multimedia (Taipei Campus)
文化事業發展系	Department of Cultural Development
文化創意事業管理學系	Department of Cultural and Creative Industry Management
文化創意事業系	Department of Cultural and Creative Industries
文化創意產業學系	Department of Cultural and Creative Industries
文化創意產業系	Department of Cultural and Creative Industries
文化創意產業系（燕巢校區）	Department of Cultural and Creative Industries (Yanchao Campus)
文化創意產業經營學系	Department of Cultural and Creative Industries Management
文化創意產業設計與營運學系	Department of Cultural and Creative Industry Design and Operations
文化創意系	Department of Culture and Creativity
文化創意與數位媒體設計系	Department of Cultural Creativity and Digital Media Design
文化創意與數位行銷學系	Department of Cultural Creativity and Digital Marketing
文化創意與設計系	Department of Culture, Creativity and Design
文化與自然資源學系	Department of Culture and Natural Resources
文化觀光產業學系	Department of Culture and Tourism Industry
文化設計與行銷系	Department of Cultural Design and Marketing
文化資源與休閒產業學系	Department of Cultural Resources and Leisure Industry
文化資產創意系	Department of Cultural Assets and Creativity
文化資產創意系(文化創意組)	Department of Cultural Assets and Creativity (Cultural Creativity Section)
文化資產創意系(文化觀光組)	Department of Cultural Assets and Creativity (Cultural Tourism Section)
文化資產維護系	Department of Cultural Assets Maintenance
文化資產與創意學系	Department of Cultural Assets and Creative Studies
文化資產與創意學系(文化觀光組)	Department of Cultural Assets and Creative Studies (Culture and Tourism Section)
文化資產與創意學系(文化資產創意應用	Department of Cultural Assets and Creativity (Creative Application of Cultural Assets
文化資產與創意學系(文化資產創意應用組)	Department of Cultural Assets and Creativity (Creative Application Group of Cultural Assets)
文學系	Department of Literature
文學院學士班	Bachelor of Arts
文藻外語大學	Wenzao University of Foreign Languages
斯拉夫語文學系	Department of Slavic Philology
新媒體傳播系	Department of New Media Communication
新媒體暨傳播管理學系	Department of New Media and Communication Management
新媒體暨傳播管理學系(台北)	Department of New Media and Communication Management (Taipei)
新媒體暨傳播管理學系(台北校區)	Department of New Media and Communication Management (Taipei Campus)
新媒體暨傳播管理學系（臺北）	Department of New Media and Communication Management (Taipei)
新媒體設計學系	Department of New Media Design
新聞傳播學系	Department of Journalism and Communication
新聞學系	Department of Journalism
新聞學系(台北校區)	Department of Journalism (Taipei Campus)
新聞學系（臺北）	Department of Journalism (Taipei)
新聞與大眾傳播學士學位學程	Bachelor's Degree in Journalism and Mass Communication
新聞與大眾傳播學士學位學程(全英語授	Bachelor's degree program in Journalism and Mass Communication (taught entirely in English
新聞與大眾傳播學士學位學程（全英語授課．臺北）	Bachelor's Degree Program in Journalism and Mass Communication (Taught entirely in English. Taipei)
旅遊事業管理系	Department of Tourism Management
旅遊事業管理系旅遊經營組	Tourism Business Group, Department of Tourism Management
旅遊文化系	Department of Tourism and Culture
旅遊管理學系	Department of Tourism Management
旅遊管理學系AI智慧觀光暨餐旅組	Department of Tourism Management AI Smart Tourism and Catering Group
旅遊管理系	Department of Tourism Management
旅遊管理系休閒遊憩管理組	Leisure and Recreation Management Group, Department of Tourism Management
旅遊管理系旅行業經營管理組	Department of Tourism Management Tourism Industry Operations and Management Group
旅遊管理系航空暨運輸服務管理組	Aviation and Transportation Services Management Group, Department of Tourism Management
旅遊管理系（淡水校本部）	Department of Tourism Management (Tsui Campus)
旅遊與休閒娛樂管理系	Department of Tourism and Leisure Management
旅遊與休閒學系	Department of Tourism and Leisure Studies
旅運管理系	Department of Tourism Management
旅運管理系旅遊觀光實務組	Tourism Practice Group, Department of Tourism Management
旅運管理系航空服務管理組	Aviation Service Management Group, Department of Travel Management
旅館事業管理學士學位學程	Bachelor's Degree in Hotel Business Management
旅館管理系	Department of Hotel Management
旅館管理與廚藝創意系	Department of Hotel Management and Culinary Arts Creativity
旅館與會展管理系	Department of Hotel and Exhibition Management
族群關係與文化學系	Department of Ethnic Relations and Culture
日本語文學系	Department of Japanese Language and Literature
日本語文學系【外加】	Department of Japanese Language and Literature【Additional】
日本語文系	Department of Japanese Language and Literature
日本語言文化學系	Department of Japanese Language and Culture
昆蟲學系	Department of Entomology
明志科技大學	Ming Chi University of Science and Technology
明新科技大學	Mingxin University of Science and Technology
明道大學	Mingdao University
時尚創意設計與管理系	Department of Fashion Creative Design and Management
時尚展演事業學士學位學程	Bachelor's Degree in Fashion Showcase
時尚展演事業系	Department of Fashion Exhibition and Performance Business
時尚生活創意設計系	Department of Fashion, Lifestyle and Creative Design
時尚產業經營管理系	Department of Fashion Industry Management
時尚經營管理系	Department of Fashion Management
時尚經營系	Department of Fashion Management
時尚美容應用系	Department of Fashion and Beauty Applications
時尚美容藝術管理學系	Department of Fashion, Beauty and Art Management
時尚與創新管理學士學位學程	Bachelor's degree in Fashion and Innovation Management
時尚與創新管理學士學位學程(全英語授	Bachelor's degree in Fashion and Innovation Management (taught entirely in English)
時尚與創新管理學士學位學程（全英語授課．臺北）	Bachelor's Degree in Fashion and Innovation Management (Taught entirely in English. Taipei)
時尚設計學系	Department of Fashion Design
時尚設計學系(時尚服裝設計組)	Department of Fashion Design (Fashion Apparel Design Group)
時尚設計學系(服飾創意設計組)	Department of Fashion Design (Apparel Creative Design Group)
時尚設計學系(高雄校區)	Department of Fashion Design (Kaohsiung Campus)
時尚設計學系應用藝術組(高雄校區)	Applied Arts Group, Department of Fashion Design (Kaohsiung Campus)
時尚設計學系表演藝術組(高雄校區)	Performing Arts Section, Department of Fashion Design (Kaohsiung Campus)
時尚設計系	Department of Fashion Design
時尚設計系(時尚服裝設計組)	Department of Fashion Design (Fashion Apparel Design Group)
